date,n_articles,avg_negative,avg_neutral,avg_positive,close,next_close,next_day_pct,direction
2023-11-20,28,0.12,0.518,0.3621,371.05,366.75,-1.1578,DOWN
2023-11-21,30,0.0952,0.6549,0.2499,366.75,371.45,1.2813,UP
2023-11-22,27,0.075,0.6183,0.3067,371.45,371.04,-0.1112,DOWN
2023-11-24,12,0.203,0.5482,0.2488,371.04,372.2,0.3126,UP
2023-11-27,13,0.0692,0.7353,0.1954,372.2,376.22,1.0803,UP
2023-11-28,14,0.2426,0.553,0.2044,376.22,372.43,-1.006,DOWN
2023-11-29,19,0.1224,0.6561,0.2215,372.43,372.49,0.0158,UP
2023-11-30,18,0.1202,0.4979,0.3819,372.49,368.17,-1.1612,DOWN
2023-12-01,8,0.1149,0.3768,0.5082,368.17,362.89,-1.4339,DOWN
2023-12-04,18,0.1353,0.538,0.3267,362.89,366.21,0.9156,UP
2023-12-05,14,0.0907,0.7903,0.119,366.21,362.55,-0.9986,DOWN
2023-12-06,13,0.1114,0.5695,0.3191,362.55,364.67,0.583,UP
2023-12-07,20,0.1182,0.4363,0.4456,364.67,367.89,0.8842,UP
2023-12-08,16,0.0844,0.6926,0.2229,367.89,365.01,-0.7829,DOWN
2023-12-11,17,0.2068,0.5429,0.2503,365.01,368.04,0.8295,UP
2023-12-12,13,0.1088,0.6625,0.2287,368.04,368.03,-0.0027,DOWN
2023-12-13,22,0.2694,0.5605,0.1701,368.03,359.73,-2.2545,DOWN
2023-12-14,15,0.1163,0.5688,0.3149,359.73,364.45,1.3117,UP
2023-12-15,27,0.0594,0.6305,0.3101,364.45,366.34,0.5179,UP
2023-12-18,16,0.1066,0.6381,0.2553,366.34,366.94,0.1637,UP
2023-12-19,22,0.1094,0.579,0.3116,366.94,364.34,-0.7073,DOWN
2023-12-20,14,0.0578,0.7675,0.1747,364.34,367.21,0.7879,UP
2023-12-21,22,0.0855,0.6939,0.2206,367.21,368.24,0.2784,UP
2023-12-22,9,0.015,0.6648,0.3202,368.24,368.32,0.0214,UP
2023-12-26,11,0.024,0.6295,0.3465,368.32,367.74,-0.1575,DOWN
2023-12-27,19,0.2214,0.5138,0.2648,367.74,368.92,0.3235,UP
2023-12-28,16,0.1546,0.5957,0.2497,368.92,369.67,0.2025,UP
