date,n_articles,avg_negative,avg_neutral,avg_positive,close,next_close,next_day_pct,direction
2022-05-10,25,0.2401,0.6356,0.1243,151.47,143.62,-5.1841,DOWN
2022-05-11,14,0.1817,0.6661,0.1522,143.62,139.75,-2.6894,DOWN
2022-05-12,22,0.1741,0.5997,0.2262,139.75,144.21,3.1916,UP
2022-05-13,36,0.2418,0.4864,0.2718,144.21,142.68,-1.0672,DOWN
2022-05-16,3,0.0376,0.8939,0.0685,142.68,146.3,2.5423,UP
2022-05-17,12,0.1347,0.716,0.1493,146.3,138.05,-5.6419,DOWN
2022-05-18,21,0.1345,0.6907,0.1748,138.05,134.65,-2.4641,DOWN
2022-05-19,26,0.2479,0.6285,0.1236,134.65,134.88,0.1747,UP
2022-05-20,28,0.1848,0.6742,0.141,134.88,140.29,4.0119,UP
2022-05-23,5,0.2039,0.6363,0.1598,140.29,137.6,-1.9216,DOWN
2022-05-24,20,0.1097,0.6614,0.2288,137.6,137.75,0.114,UP
2022-05-25,29,0.2809,0.5776,0.1414,137.75,140.95,2.32,UP
2022-05-26,20,0.2187,0.5654,0.2159,140.95,146.7,4.0757,UP
2022-05-27,20,0.1431,0.5107,0.3461,146.7,145.91,-0.5346,DOWN
2022-05-31,9,0.0658,0.7878,0.1464,145.91,145.78,-0.0874,DOWN
2022-06-01,17,0.1529,0.7227,0.1244,145.78,148.23,1.6811,UP
2022-06-02,19,0.1815,0.6121,0.2064,148.23,142.52,-3.8556,DOWN
2022-06-03,21,0.2742,0.6205,0.1052,142.52,143.26,0.5228,UP
2022-06-06,5,0.1275,0.7261,0.1463,143.26,145.78,1.7586,UP
2022-06-07,16,0.1255,0.7879,0.0866,145.78,145.05,-0.5044,DOWN
2022-06-08,20,0.0601,0.7369,0.203,145.05,139.83,-3.5956,DOWN
2022-06-09,22,0.0991,0.6237,0.2772,139.83,134.43,-3.8629,DOWN
2022-06-10,23,0.2565,0.6139,0.1295,134.43,129.28,-3.8285,DOWN
2022-06-13,5,0.0224,0.8922,0.0854,129.28,130.15,0.6673,UP
2022-06-14,13,0.2207,0.6218,0.1575,130.15,132.76,2.0111,UP
2022-06-15,20,0.1465,0.673,0.1805,132.76,127.5,-3.9651,DOWN
2022-06-16,19,0.2517,0.4938,0.2545,127.5,128.97,1.1533,UP
2022-06-17,16,0.201,0.6903,0.1087,128.97,133.2,3.276,UP
2022-06-21,13,0.0289,0.8541,0.117,133.2,132.69,-0.3827,DOWN
2022-06-22,11,0.1837,0.5527,0.2636,132.69,135.55,2.1573,UP
2022-06-23,21,0.0786,0.7675,0.1538,135.55,138.87,2.4517,UP
2022-06-24,15,0.1172,0.6001,0.2827,138.87,138.87,0.0,DOWN
2022-06-27,7,0.0542,0.8552,0.0906,138.87,134.74,-2.979,DOWN
2022-06-28,19,0.0914,0.7585,0.1501,134.74,136.49,1.3024,UP
2022-06-29,19,0.2204,0.5182,0.2614,136.49,134.03,-1.8028,DOWN
